code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	no_nutriments	additives_n	additives	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	pnns_groups_1	pnns_groups_2	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
5449000000996	https://world.openfoodfacts.org/product/5449000000996	sevan	1339313745	1529666204	Coca-Cola		330 ml	Canette,Aluminium,canette,Can	canette,aluminium,canette,can	Coca-Cola	coca-cola	Boissons,Boissons gazeuses,Sodas,Boissons sucrées,Boissons,Boissons gazeuses,Boissons sucrées,Sodas au cola	en:beverages,en:carbonated-drinks,en:sodas,en:sugared-beverages,it:boissons,it:boissons-gazeuses,it:boissons-sucrees,it:sodas-au-cola							14-1178-BE,EMB 13071,EMB 31113,EMB 59183,EMB 91286,EMB 92023,EMB 92784	14-1178-be,emb-13071,emb-31113,emb-59183,emb-91286,emb-92023,emb-92784		pennes-mirabeau-bouches-du-rhone-france,castanet-tolosan-haute-garonne-france,dunkerque-nord-france,grigny-essonne-france,clamart-hauts-de-seine-france			Nouvelle-Calédonie,Algérie,Italie,Canada,Cameroun,Allemagne,Pays-Bas,Portugal,France,Belgique,Brésil,Inde,Martinique,Mali,Maroc,Royaume-Uni,Réunion,Luxembourg,États-Unis,Arabie Saoudite,Sénégal,Espagne,Suisse	Eau gazéifiée ; sucre : colorant : E150d ; acidifiant phosphorique ; arômes naturels (extraits végétaux) , dont caféine.					330 ml		1	 [ eau-gazeifiee -> it:eau-gazeifiee  ]  [ sucre -> it:sucre  ]  [ colorant -> it:colorant  ]  [ e150d -> en:e150d  -> exists  -- ok  ]  [ acidifiant -> it:acidifiant  ]  [ phosphorique -> it:phosphorique  ]  [ aromes-naturels -> it:aromes-naturels  ]  [ extraits-vegetaux -> it:extraits-vegetaux  ]  [ dont-cafeine -> it:dont-cafeine  ] 	en:e150d	0			0			Beverages	Sweetened beverages	it:boissons	https://static.openfoodfacts.org/images/products/544/900/000/0996/front_en.193.400.jpg	https://static.openfoodfacts.org/images/products/544/900/000/0996/front_en.193.200.jpg	https://static.openfoodfacts.org/images/products/544/900/000/0996/front_en.193.400.jpg	https://static.openfoodfacts.org/images/products/544/900/000/0996/front_en.193.200.jpg	https://static.openfoodfacts.org/images/products/544/900/000/0996/ingredients_en.284.400.jpg	https://static.openfoodfacts.org/images/products/544/900/000/0996/ingredients_en.284.200.jpg	https://static.openfoodfacts.org/images/products/544/900/000/0996/nutrition_en.143.400.jpg	https://static.openfoodfacts.org/images/products/544/900/000/0996/nutrition_en.143.200.jpg	176		0	0																																			10.6	10.6									0	0				0	0																																										14	2							
0070847811169	https://world.openfoodfacts.org/product/0070847811169	openfoodfacts-contributors	1369502353	1489141004	Monster Energy			Can	can	Monster, Monster Energy	monster,monster-energy	Beverages,Carbonated drinks,Sodas,Energy drinks,Sugared beverages,Energy Drinks	en:beverages,en:carbonated-drinks,en:sodas,en:energy-drinks,en:sugared-beverages													United States, en:france	Carbonated water, sugar, glucose, citric acid, natural flavors, taurine, sodium citrate, color added, panax ginseng extract, l-carnitine l-tartrate, caffeine, sorbic acid (preservative), benzoic acid (preservative), niacinamide (vit.b3), sucralose, salt,					240 ml (8 fl oz)		5	 [ carbonated-water -> en:carbonated-water  ]  [ water -> en:water  ]  [ sugar -> en:sugar  ]  [ glucose -> en:glucose  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ natural-flavors -> en:natural-flavors  ]  [ flavors -> en:flavors  ]  [ taurine -> en:taurine  -> exists as a other_nutritional_substance en:taurine  ]  [ sodium-citrate -> en:e331  -> exists  -- ok  ]  [ color-added -> en:color-added  ]  [ added -> en:added  ]  [ panax-ginseng-extract -> en:panax-ginseng-extract  ]  [ ginseng-extract -> en:ginseng-extract  ]  [ extract -> en:extract  ]  [ l-carnitine-l-tartrate -> en:l-carnitine-l-tartrate  -> exists as a other_nutritional_substance en:l-carnitine-l-tartrate  ]  [ caffeine -> en:caffeine  ]  [ sorbic-acid -> en:e200  -> exists  -- ok  ]  [ preservative -> en:preservative  ]  [ benzoic-acid -> en:e210  -> exists  -- ok  ]  [ preservative -> en:preservative  ]  [ niacinamide -> en:niacinamide  ]  [ vit-b3 -> en:vit-b3  ]  [ b3 -> en:b3  ]  [ sucralose -> en:e955  -> exists  -- ok  ]  [ salt -> en:salt  ] 	en:e200,en:e210,en:e330,en:e331,en:e955	0			0			Beverages	Sweetened beverages	en:energy-drinks	https://static.openfoodfacts.org/images/products/007/084/781/1169/front_en.6.400.jpg	https://static.openfoodfacts.org/images/products/007/084/781/1169/front_en.6.200.jpg	https://static.openfoodfacts.org/images/products/007/084/781/1169/front_en.6.400.jpg	https://static.openfoodfacts.org/images/products/007/084/781/1169/front_en.6.200.jpg					192		0																																				11.25	11.25										0				0.1905	0.075									0.708333	0.008333	0.000833			2.5e-06																																				
7289042	https://world.openfoodfacts.org/product/7289042	tacinte	1421394543	1480084863	Heineken		12 FL. OZ.	can	can			Beverages,Alcoholic beverages,Beers,Lagers	en:beverages,en:alcoholic-beverages,en:beers,en:lagers											Chicago,Illinois,USA		United States, en:france																		Alcoholic beverages	en:lagers	https://static.openfoodfacts.org/images/products/7289042/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/7289042/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/7289042/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/7289042/front_en.7.200.jpg																																																																																																													
0613008735784	https://world.openfoodfacts.org/product/0613008735784	chiefofgxbxl	1423178941	1480084706	Arizona Iced tea with lemon flavor	Iced tea	11.5 fl oz	can	can	Arizona	arizona	Iced tea	en:beverages,en:iced-teas,en:non-alcoholic-beverages	100% natural,No artificial colors,No artificial flavors,No preservatives	en:no-preservatives,de:100-naturlich,en:no-artificial-colors,en:no-artificial-flavors									New York,United States		United States, en:france	Premium brewed tea using filtered water, high fructose corn syrup (glucose-fructose syrup), citric acid, natural lemon flavor							1	 [ premium-brewed-tea-using-filtered-water -> en:premium-brewed-tea-using-filtered-water  ]  [ brewed-tea-using-filtered-water -> en:brewed-tea-using-filtered-water  ]  [ tea-using-filtered-water -> en:tea-using-filtered-water  ]  [ using-filtered-water -> en:using-filtered-water  ]  [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ high-fructose-corn-syrup -> en:high-fructose-corn-syrup  ]  [ fructose-corn-syrup -> en:fructose-corn-syrup  ]  [ corn-syrup -> en:corn-syrup  ]  [ syrup -> en:syrup  ]  [ glucose-fructose-syrup -> en:glucose-fructose-syrup  ]  [ fructose-syrup -> en:fructose-syrup  ]  [ syrup -> en:syrup  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ natural-lemon-flavor -> en:natural-lemon-flavor  ]  [ lemon-flavor -> en:lemon-flavor  ]  [ flavor -> en:flavor  ] 	en:e330	0			0			unknown	unknown	en:iced-teas	https://static.openfoodfacts.org/images/products/061/300/873/5784/front_en.5.400.jpg	https://static.openfoodfacts.org/images/products/061/300/873/5784/front_en.5.200.jpg	https://static.openfoodfacts.org/images/products/061/300/873/5784/front_en.5.400.jpg	https://static.openfoodfacts.org/images/products/061/300/873/5784/front_en.5.200.jpg																																																																																																					0	0							
0613002715720	https://world.openfoodfacts.org/product/0613002715720	tacinte	1421655644	1480084399	Green Tea with Ginseng and Honey		128 fl. oz (1 gallon) 3.78 L	plastic bottle	plastic-bottle	Arizona	arizona	Beverages,Non-sugared beverages,Tea Drinks	en:beverages,en:non-sugared-beverages,en:tea-drinks,en:non-alcoholic-beverages											San Francisco,California,USA	Safeway	United States, en:france	Premium Brewed Green Tea using Filtered Water, High Fructose Corn Syrup (Glucose-Fructose Syrup), Honey, Citric Acid, Natural Flavors Ginseng Extract, Ascorbic Acid (Vitamin C).					8 fl. oz (240 mL)		1	 [ premium-brewed-green-tea-using-filtered-water -> en:premium-brewed-green-tea-using-filtered-water  ]  [ brewed-green-tea-using-filtered-water -> en:brewed-green-tea-using-filtered-water  ]  [ green-tea-using-filtered-water -> en:green-tea-using-filtered-water  ]  [ tea-using-filtered-water -> en:tea-using-filtered-water  ]  [ using-filtered-water -> en:using-filtered-water  ]  [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ high-fructose-corn-syrup -> en:high-fructose-corn-syrup  ]  [ fructose-corn-syrup -> en:fructose-corn-syrup  ]  [ corn-syrup -> en:corn-syrup  ]  [ syrup -> en:syrup  ]  [ glucose-fructose-syrup -> en:glucose-fructose-syrup  ]  [ fructose-syrup -> en:fructose-syrup  ]  [ syrup -> en:syrup  ]  [ honey -> en:honey  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ natural-flavors -> en:natural-flavors  ]  [ flavors -> en:flavors  ]  [ ginseng-extract -> en:ginseng-extract  ]  [ extract -> en:extract  ]  [ ascorbic-acid -> en:e300  -> exists  -- mandatory_additive_class: en:acidity-regulator,en:antioxidant,en:flour-treatment-agent,en:sequestrant (current: ingredient)  -> exists as a vitamin en:l-ascorbic-acid  ]  [ vitamin-c -> en:vitamin-c  -> exists as a vitamin en:vitamin-c and current class is en:vitamins  ] 	en:e330	0			0			Beverages	Non-sugared beverages	en:non-alcoholic-beverages	https://static.openfoodfacts.org/images/products/061/300/271/5720/front_en.6.400.jpg	https://static.openfoodfacts.org/images/products/061/300/271/5720/front_en.6.200.jpg	https://static.openfoodfacts.org/images/products/061/300/271/5720/front_en.6.400.jpg	https://static.openfoodfacts.org/images/products/061/300/271/5720/front_en.6.200.jpg	https://static.openfoodfacts.org/images/products/061/300/271/5720/ingredients_en.9.400.jpg	https://static.openfoodfacts.org/images/products/061/300/271/5720/ingredients_en.9.200.jpg	https://static.openfoodfacts.org/images/products/061/300/271/5720/nutrition_en.12.400.jpg	https://static.openfoodfacts.org/images/products/061/300/271/5720/nutrition_en.12.200.jpg	122		0	0																																	0	0	7.5	7.08									0	0				0.0106	0.00417		0					0.00625														0		0																			10	1							
0049283802185	https://world.openfoodfacts.org/product/0049283802185	tacinte	1421656140	1480084377	S.Pellegrino	Sparkling Natural Mineral Water	25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL	plastic bottle	plastic-bottle	S.Pellegrino,San Pellegrino	s-pellegrino,san-pellegrino	Beverages,Waters,Non-sugared beverages,Mineral Water,Sparkling Mineral Water,Sparkling Water	en:beverages,en:waters,en:carbonated-drinks,en:spring-waters,en:mineral-waters,en:carbonated-waters,en:non-sugared-beverages,en:sparkling-mineral-water,en:non-alcoholic-beverages					Italy	italy					San Francisco,California,USA	Safeway	United States, en:france	Natural Mineral Water with natural CO2 added					8 fl. oz (237 mL)		0	 [ natural-mineral-water-with-natural-co2-added -> en:natural-mineral-water-with-natural-co2-added  ]  [ mineral-water-with-natural-co2-added -> en:mineral-water-with-natural-co2-added  ]  [ water-with-natural-co2-added -> en:water-with-natural-co2-added  ]  [ with-natural-co2-added -> en:with-natural-co2-added  ]  [ natural-co2-added -> en:natural-co2-added  ]  [ co2-added -> en:co2-added  ]  [ added -> en:added  ] 		0			0			Beverages	Non-sugared beverages	en:carbonated-waters	https://static.openfoodfacts.org/images/products/004/928/380/2185/front_en.10.400.jpg	https://static.openfoodfacts.org/images/products/004/928/380/2185/front_en.10.200.jpg	https://static.openfoodfacts.org/images/products/004/928/380/2185/front_en.10.400.jpg	https://static.openfoodfacts.org/images/products/004/928/380/2185/front_en.10.200.jpg	https://static.openfoodfacts.org/images/products/004/928/380/2185/ingredients_en.7.400.jpg	https://static.openfoodfacts.org/images/products/004/928/380/2185/ingredients_en.7.200.jpg	https://static.openfoodfacts.org/images/products/004/928/380/2185/nutrition_en.8.400.jpg	https://static.openfoodfacts.org/images/products/004/928/380/2185/nutrition_en.8.200.jpg	0		0	0																																			0	0									0	0				0.0107	0.00422		0					0														0.0169		0																											
4710487051513	https://world.openfoodfacts.org/product/4710487051513	openfoodfacts-contributors	1470220674	1528732048	Aloe Vera		500 ml			Chin chin, King Lucky Food Ind.  Corp.	chin-chin,king-lucky-food-ind-corp	en:beverages	en:beverages,en:sugared-beverages													en:france, en:united-states	EAU, JUS D'ALOE VERA 13,3% (DONT PULPE 8%), SUCRE, ACIDIFIANT (E330), ARÔME, MIEL 0,01%					240 ml (8 fl oz)		1	 [ eau -> fr:eau  ]  [ jus-d-aloe-vera-13 -> fr:jus-d-aloe-vera-13  ]  [ jus-d-aloe-vera -> fr:jus-d-aloe-vera  ]  [ jus-d-aloe -> fr:jus-d-aloe  ]  [ jus-d -> fr:jus-d  ]  [ jus -> fr:jus  ]  [ 3 -> en:fd-c  ]  [ dont-pulpe-8 -> fr:dont-pulpe-8  ]  [ dont-pulpe -> fr:dont-pulpe  ]  [ dont -> fr:dont  ]  [ sucre -> fr:sucre  ]  [ acidifiant -> fr:acidifiant  ]  [ e330 -> en:e330  -> exists  -- ok  ]  [ arome -> fr:arome  ]  [ miel-0 -> fr:miel-0  ]  [ miel -> fr:miel  ]  [ 01 -> fr:01  ] 	en:e330	0			0			Beverages	Sweetened beverages	en:sugared-beverages	https://static.openfoodfacts.org/images/products/471/048/705/1513/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/471/048/705/1513/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/471/048/705/1513/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/471/048/705/1513/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/471/048/705/1513/ingredients_fr.16.400.jpg	https://static.openfoodfacts.org/images/products/471/048/705/1513/ingredients_fr.16.200.jpg			155		0	0																																	0	0	9.17	8.75									0.1	0				0	0		0					0.0002														0.004		0																			12	1							
0041508800600	https://world.openfoodfacts.org/product/0041508800600	stephane	1438894171	1510152972	Aranciata	Sparkling Orange Beverage with 16% Orange Juice from Concentrate with Other Naturel Flavors	330 mL	Can,métal,aluminium,canette	can,metal,aluminium,canette	San Pellegrino,Sanpellegrino,Sanpellegrino Usa  Inc.	san-pellegrino,sanpellegrino,sanpellegrino-usa-inc	fr:Sodas aux fruits,fr:Sodas à l'orange	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:fruit-sodas,en:orange-soft-drinks,en:sugared-beverages	Kosher,Orthodox Union Kosher,fr:Arômes naturels	en:kosher,en:natural-flavors,en:orthodox-union-kosher									California		United States	Water, orange juice from concentrate, sugar, carbon dioxide, citric acid, natural flavors.					330 ml		2	 [ water -> en:water  ]  [ orange-juice-from-concentrate -> en:orange-juice-from-concentrate  ]  [ juice-from-concentrate -> en:juice-from-concentrate  ]  [ from-concentrate -> en:from-concentrate  ]  [ concentrate -> en:concentrate  ]  [ sugar -> en:sugar  ]  [ carbon-dioxide -> en:e290  -> exists  -- ok  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ natural-flavors -> en:natural-flavors  ]  [ flavors -> en:flavors  ] 	en:e290,en:e330	0			0			Beverages	Sweetened beverages	en:orange-soft-drinks	https://static.openfoodfacts.org/images/products/004/150/880/0600/front_en.10.400.jpg	https://static.openfoodfacts.org/images/products/004/150/880/0600/front_en.10.200.jpg	https://static.openfoodfacts.org/images/products/004/150/880/0600/front_en.10.400.jpg	https://static.openfoodfacts.org/images/products/004/150/880/0600/front_en.10.200.jpg	https://static.openfoodfacts.org/images/products/004/150/880/0600/ingredients_en.11.400.jpg	https://static.openfoodfacts.org/images/products/004/150/880/0600/ingredients_en.11.200.jpg	https://static.openfoodfacts.org/images/products/004/150/880/0600/nutrition_en.8.400.jpg	https://static.openfoodfacts.org/images/products/004/150/880/0600/nutrition_en.8.200.jpg	178	0	0																																				10.3	9.7										0				0	0																																				16														
0016229901158	https://world.openfoodfacts.org/product/0016229901158	tacinte	1439230004	1529690629	Boisson Tamarin	Boisson Tamarin	350 ml	Canette,métal	canette,metal	Foco,Thai Agri Foods Co.  Ltd.	foco,thai-agri-foods-co-ltd	Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons aux fruits,Boissons sucrées	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:sugared-beverages	Point Vert	en:green-dot			Thaïlande	thailande					France,États-Unis		France,États-Unis	Eau, pulpe de tamarin (30 %), sucre, sirop de fructose.					350 ml (1 CAN)		0	 [ eau -> fr:eau  ]  [ pulpe-de-tamarin -> fr:pulpe-de-tamarin  ]  [ pulpe-de -> fr:pulpe-de  ]  [ pulpe -> fr:pulpe  ]  [ 30 -> fr:30  ]  [ sucre -> fr:sucre  ]  [ sirop-de-fructose -> fr:sirop-de-fructose  ]  [ sirop-de -> fr:sirop-de  ]  [ sirop -> fr:sirop  ] 		0			0			Beverages	Sweetened beverages	en:fruit-based-beverages	https://static.openfoodfacts.org/images/products/001/622/990/1158/front_fr.28.400.jpg	https://static.openfoodfacts.org/images/products/001/622/990/1158/front_fr.28.200.jpg	https://static.openfoodfacts.org/images/products/001/622/990/1158/front_fr.28.400.jpg	https://static.openfoodfacts.org/images/products/001/622/990/1158/front_fr.28.200.jpg	https://static.openfoodfacts.org/images/products/001/622/990/1158/ingredients_fr.22.400.jpg	https://static.openfoodfacts.org/images/products/001/622/990/1158/ingredients_fr.22.200.jpg	https://static.openfoodfacts.org/images/products/001/622/990/1158/nutrition_fr.23.400.jpg	https://static.openfoodfacts.org/images/products/001/622/990/1158/nutrition_fr.23.200.jpg	268		0	0																																	0	0	16	13									0	0				0.04	0.015748031496063		0					0														0		0														30					18	2							
0018000758463	https://world.openfoodfacts.org/product/0018000758463	tacinte	1421656651	1439141750	Canada Dry	Ginger Ale	2 L	plastic bottle	plastic-bottle	Canada Dry	canada-dry	Beverages,Carbonated drinks,Sodas,Sugared beverages,Ginger Ales	en:beverages,en:carbonated-drinks,en:sodas,en:sugared-beverages,en:ginger-ales											San Francisco,California,USA	Safeway	United States	CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CITRIC ACID, SODIUM BENZOATE (PRESERVATIVE), NATURAL FLAVORS, CARAMEL COLOR.  					12 fl oz (355 mL)		3	 [ carbonated-water -> en:carbonated-water  ]  [ water -> en:water  ]  [ high-fructose-corn-syrup -> en:high-fructose-corn-syrup  ]  [ fructose-corn-syrup -> en:fructose-corn-syrup  ]  [ corn-syrup -> en:corn-syrup  ]  [ syrup -> en:syrup  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ sodium-benzoate -> en:e211  -> exists  -- ok  ]  [ preservative -> en:preservative  ]  [ natural-flavors -> en:natural-flavors  ]  [ flavors -> en:flavors  ]  [ caramel-color -> en:e150a  -> exists  -- ok  ] 	en:e150a,en:e211,en:e330	0			0			Beverages	Sweetened beverages	en:sodas	https://static.openfoodfacts.org/images/products/001/800/075/8463/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/001/800/075/8463/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/001/800/075/8463/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/001/800/075/8463/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/001/800/075/8463/ingredients_en.8.400.jpg	https://static.openfoodfacts.org/images/products/001/800/075/8463/ingredients_en.8.200.jpg	https://static.openfoodfacts.org/images/products/001/800/075/8463/nutrition_en.9.400.jpg	https://static.openfoodfacts.org/images/products/001/800/075/8463/nutrition_en.9.200.jpg	163		0																																				10	9.72										0				0.0353	0.0139																																																		
